11112: Divider Inserts,1.5,0.5,0,0,20,2,8.5,11,0.5,2.75,0.5,2.75
11116: Divider Inserts,2,0.5,0,0,18,2,8.5,11,1,2.25,1,2.25
11121: Divider Inserts,2,0.5,0,0,18,2,8.5,11,1,2.25,1,2.25
11121: Divider Inserts,2,0.3333,0,0,26,2,8.5,11,1.1666,2.25,1.1666,2.25
11122: Divider Inserts,2,0.5,0,0,18,2,8.5,11,1,2.25,1,2.25
11123: Divider Inserts,1.5,0.5,0,0,20,2,8.5,11,0.5,2.75,0.5,2.75
11123: Divider Inserts,1.5,0.3333,0,0,26,2,8.5,11,1.1666,2.75,1.1666,2.75
11124: Divider Inserts,1.5,0.5,0,0,20,2,8.5,11,0.5,2.75,0.5,2.75
11126: Ready Index (J-D),3,0.8375,0,0,12,1,8.5,11,0.5,5,0.5,0.5
11127: Ready Index (J-D),3,0.8375,0,0,12,1,8.5,11,0.5,5,0.5,0.5
11130: Ready Index (5 Tab),3,1.875,0,0.125,5,1,8.5,11,0.625,5,0.5,0.5
11131: Ready Index (5 Tab),3,1.875,0,0.125,5,1,8.5,11,0.625,5,0.5,0.5
11132: Ready Index (8 Tab),3,1.125,0,0.094,8,1,8.5,11,0.875,5,0.5,0.5
11133: Ready Index (8 Tab),3,1.125,0,0.094,8,1,8.5,11,0.875,5,0.5,0.5
11134: Ready Index (10 Tab),3,0.875,0,0.125,10,1,8.5,11,0.625,5,0.5,0.5
11135: Ready Index (10 Tab),3,0.875,0,0.125,10,1,8.5,11,0.625,5,0.5,0.5
11136: Hanging File Tabs,2,0.5,0,0,10,4,8.5,7,1,0.25,1,0.25
11137: Hanging File Tabs,3.5,0.5,0,0,10,2,8.5,7,1,0.75,1,0.75
11140: Ready Index (12 Tab),3,0.8375,0,0,12,1,8.5,11,0.5,5,0.5,0.5
11141: Ready Index (12 Tab),3,0.8375,0,0,12,1,8.5,11,0.5,5,0.5,0.5
11142: Ready Index (15 Tab),3,0.46875,0,0.15625,15,1,8.5,11,0.9375,5,0.625,0.5
11143: Ready Index (15 Tab),3,0.46875,0,0.15625,15,1,8.5,11,0.9375,5,0.625,0.5
11145: Ready Index (5 Tab),3,1.875,0,0.125,5,1,8.5,11,0.625,5,0.5,0.5
11145: Ready Index (5 Tab),3,1.875,0,0.125,5,1,8.5,11,0.625,5,0.5,0.5
11146: Ready Index (8 Tab),3,1.125,0,0.094,8,1,8.5,11,0.875,5,0.5,0.5
11147: Ready Index (10 Tab),3,0.875,0,0.125,10,1,8.5,11,0.625,5,0.5,0.5
11161: Ready Index (5 Tab),3,1.875,0,0.125,5,1,8.5,11,0.625,5,0.5,0.5
11163: Ready Index (8 Tab),3,1.125,0,0.094,8,1,8.5,11,0.875,5,0.5,0.5
11165: Ready Index (10 Tab),3,0.875,0,0.125,10,1,8.5,11,0.625,5,0.5,0.5
11167: Ready Index (5 Tab),3,1.875,0,0.125,5,1,8.5,11,0.625,5,0.5,0.5
11168: Ready Index (8 Tab),3,1.125,0,0.094,8,1,8.5,11,0.875,5,0.5,0.5
11169: Ready Index (10 Tab),3,0.875,0,0.125,10,1,8.5,11,0.625,5,0.5,0.5
11171: Ready Index (5 Tab),3,1.875,0,0.125,5,1,8.5,11,0.625,5,0.5,0.5
11172: Ready Index (8 Tab),3,1.125,0,0.09,8,1,8.5,11,0.87,5,0.5,0.5
11173: Ready Index (10 Tab),3,0.875,0,0.125,10,1,8.5,11,0.625,5,0.5,0.5
11186: Ready Index (8 Tab),3,1.125,0,0.094,8,1,8.5,11,0.875,5,0.5,0.5
11187: Ready Index (5 Tab),3,1.875,0,0.125,5,1,8.5,11,0.625,5,0.5,0.5
11188: Ready Index (10 Tab),3,0.875,0,0.125,10,1,8.5,11,0.625,5,0.5,0.5
11241: Executive 5-Tab,3.5,3.5,2.5,0,1,1,8.5,11,3.75,2.75,3.75,2.25
11241: Executive 5-Tab,3,2,0,0,5,1,8.5,11,0.66,5.125,0.34,0.375
11242: Executive 8-Tab,3.5,3.5,2.5,0,1,1,8.5,11,3.75,2.75,3.75,2.25
11242: Executive 8-Tab,3,1.22,0,0,8,1,8.5,11,0.88,5.125,0.36,0.375
11243: Executive 10-Tab,3.5,3.5,2.5,0,1,1,8.5,11,3.75,2.75,3.75,2.25
11243: Executive 10-Tab,3,1,0,0,10,1,8.5,11,0.69,5.125,0.31,0.375
11245: Hidden 5-Tab,3,1.875,0,0.125,5,1,8.5,11,0.625,5,0.5,0.5
11246: Hidden 8-Tab,3,1.125,0,0.09375,8,1,8.5,11,0.875,5,0.5,0.5
11247: Hidden 10-Tab,3,0.875,0,0.125,10,1,8.5,11,0.625,5,0.5,0.5
11251: Presentation Kit 5-Tab,1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
11251: Spine Label 1" or Larger,3.625,1,0.475,0,2,2,8.5,11,7.5,0.387,1.5,0.388
11251: Spine Label 1/4" or 5/16",3.625,0.25,0.475,0,2,2,8.5,11,2,0.387,8.5,0.388
11251: Spine Label 3/8" or 1/2",3.625,0.375,0.475,0,2,2,8.5,11,3.5,0.387,6.75,0.388
11251: Spine Label 5/8" or 3/4",3.625,0.625,0.475,0,2,2,8.5,11,5.25,0.387,4.5,0.388
11253: Narrow 5-Tab,1.75,0.25,0.3,0.25,20,4,8.5,11,0.5,0.3,0.75,0.3
11253: Spine Label 1" or Larger,3.625,1,0.475,0,2,2,8.5,11,7.5,0.387,1.5,0.388
11253: Spine Label 1/4" or 5/16",3.625,0.25,0.475,0,2,2,8.5,11,2,0.387,8.5,0.388
11253: Spine Label 3/8" or 1/2",3.625,0.375,0.475,0,2,2,8.5,11,3.5,0.387,6.75,0.388
